Category,Subcategory,Software Name,ArcForge ID,ArcForge Key,Gaming,Creator,Developer,Homelab,Secure,Catalog,Priority,Detection Method,Detection Target,Detection Source,Package Status,Winget ID,Chocolatey ID,ArcForge Link,FOSS,Notes,ArcForge Description
Creator / Media Tools,Screenshot / Capture,ShareX (Screenshots),sharex,ARCInstallsharex,Yes,Yes,Yes,No,No,Yes,Recommended,Registry / Executable,Installed Programs registry; executable matching ShareX (Screenshots),Default inferred detection for desktop app,Winget + Chocolatey,ShareX.ShareX,sharex,https://getsharex.com/,TRUE,"Powerful screenshot, screen recording, annotation, and upload tool; excellent for documentation, tutorials, QA, and support evidence.","Powerful screenshot, screen recording, annotation, and upload tool; excellent for documentation, tutorials, QA, and support evidence."
Creator / Media Tools,Subtitle Editing,Subtitle Edit,subtitle-edit,ARCInstallsubtitle-edit,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Subtitle Edit,Default inferred detection for desktop app,Winget + Chocolatey,Nikse.SubtitleEdit,subtitleedit,https://github.com/SubtitleEdit/subtitleedit,TRUE,"Subtitle editor for creating, syncing, converting, and correcting subtitle files; useful for localization and video workflows.","Subtitle editor for creating, syncing, converting, and correcting subtitle files; useful for localization and video workflows."
Creator / Media Tools,Virtual Audio Mixer,Voicemeeter (Audio),voicemeeter,ARCInstallvoicemeeter,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Voicemeeter (Audio),Default inferred detection for desktop app,Winget + Chocolatey,VB-Audio.Voicemeeter,voicemeeter,https://voicemeeter.com/,FALSE,"Virtual audio mixer for routing microphones, desktop audio, and apps; useful for streaming, recording, podcasts, and multi-source audio setups.","Virtual audio mixer for routing microphones, desktop audio, and apps; useful for streaming, recording, podcasts, and multi-source audio setups."
Creator / Media Tools,Photo Editing / RAW,darktable,darktable,ARCInstalldarktable,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching darktable,Default inferred detection for desktop app,Winget + Chocolatey,darktable.darktable,darktable,https://www.darktable.org/install/,TRUE,Open-source photography workflow app and RAW editor; useful for photographers and creator workstations.,Open-source photography workflow app and RAW editor; useful for photographers and creator workstations.
Creator / Media Tools,Digital Art / Painting,Fire Alpaca,firealpaca,ARCInstallfirealpaca,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Fire Alpaca,Default inferred detection for desktop app,Winget + Chocolatey,FireAlpaca.FireAlpaca,firealpaca,https://firealpaca.com/,FALSE,"Lightweight digital painting and illustration app; useful for artists, sketching, and creator workflows.","Lightweight digital painting and illustration app; useful for artists, sketching, and creator workflows."
Creator / Media Tools,Image Editing,GIMP (Image Editor),gimp,ARCInstallgimp,No,Yes,No,No,No,Yes,Recommended,Registry / Executable,Installed Programs registry; executable matching GIMP (Image Editor),Default inferred detection for desktop app,Winget + Chocolatey,GIMP.GIMP.3,gimp,https://www.gimp.org/,TRUE,"Open-source raster image editor; useful for photo editing, graphics, thumbnails, and general creator work.","Open-source raster image editor; useful for photo editing, graphics, thumbnails, and general creator work."
Creator / Media Tools,Disc Burning / Imaging,ImgBurn,imgburn,ARCInstallimgburn,No,No,No,No,No,Yes,Niche,Registry / Executable,Installed Programs registry; executable matching ImgBurn,Default inferred detection for desktop app,Winget + Chocolatey,LIGHTNINGUK.ImgBurn,imgburn,https://www.imgburn.com/,FALSE,"Disc burning and image creation tool; useful for legacy media, ISO workflows, and optical-disc tasks.","Disc burning and image creation tool; useful for legacy media, ISO workflows, and optical-disc tasks."
Creator / Media Tools,Digital Art / Painting,Krita (Image Editor),krita,ARCInstallkrita,No,Yes,No,No,No,Yes,Recommended,Registry / Executable,Installed Programs registry; executable matching Krita (Image Editor),Default inferred detection for desktop app,Winget + Chocolatey,KDE.Krita,krita,https://krita.org/en/features/,TRUE,"Open-source digital painting and illustration app; strong fit for artists, concept work, comics, and game art.","Open-source digital painting and illustration app; strong fit for artists, concept work, comics, and game art."
Creator / Media Tools,Video Player,Media Player Classic - Home Cinema,mpc-hc,ARCInstallmpc-hc,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Media Player Classic - Home Cinema,Default inferred detection for desktop app,Winget + Chocolatey,clsid2.mpc-hc,mpc-hc-clsid2,https://github.com/clsid2/mpc-hc/,TRUE,Lightweight classic media player with broad format support; useful for simple and reliable video playback.,Lightweight classic media player with broad format support; useful for simple and reliable video playback.
Creator / Media Tools,Image Viewer,Nomacs (image viewer),nomacs,ARCInstallnomacs,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Nomacs (image viewer),Default inferred detection for desktop app,Winget + Chocolatey,nomacs.nomacs,nomacs,https://nomacs.org/,TRUE,Open-source image viewer with basic editing and format support; useful for quick image review.,Open-source image viewer with basic editing and format support; useful for quick image review.
Creator / Media Tools,Video Editing,Shotcut,shotcut,ARCInstallshotcut,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Shotcut,Default inferred detection for desktop app,Winget only,Meltytech.Shotcut,N/A,https://shotcut.org/,TRUE,"Open-source video editor for basic to intermediate editing; useful for creators, tutorials, and quick video projects.","Open-source video editor for basic to intermediate editing; useful for creators, tutorials, and quick video projects."
Creator / Media Tools,Audio Metadata / Tagging,TagScanner (Tag Scanner),tagscanner,ARCInstalltagscanner,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching TagScanner (Tag Scanner),Default inferred detection for desktop app,Winget + Chocolatey,SergeySerkov.TagScanner,tagscanner,https://www.xdlab.ru/en/,FALSE,Audio tag editor and music library organizer; useful for cleaning up metadata and organizing local music collections.,Audio tag editor and music library organizer; useful for cleaning up metadata and organizing local music collections.
Creator / Media Tools,Virtual Audio Mixer,Voicemeeter Potato,voicemeeter-potato,ARCInstallvoicemeeter-potato,No,No,No,No,No,Yes,Niche,Registry / Executable,Installed Programs registry; executable matching Voicemeeter Potato,Default inferred detection for desktop app,Winget + Chocolatey,VB-Audio.Voicemeeter.Potato,voicemeeter-potato,https://voicemeeter.com/,FALSE,"Advanced version of Voicemeeter with more channels and routing options; useful for complex streaming, podcasting, and multi-PC audio setups.","Advanced version of Voicemeeter with more channels and routing options; useful for complex streaming, podcasting, and multi-PC audio setups."
Creator / Media Tools,Video Transcoding,FFmpeg Batch AV Converter,ffmpeg-batch-av-converter,ARCInstallffmpeg-batch-av-converter,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching FFmpeg Batch AV Converter,Default inferred detection for desktop app,Winget + Chocolatey,eibol.FFmpegBatchAVConverter,ffmpeg-batch,https://ffmpeg-batch.sourceforge.io/,TRUE,Batch GUI for FFmpeg media conversion; useful for creator workflows and bulk audio/video processing.,Batch GUI for FFmpeg media conversion; useful for creator workflows and bulk audio/video processing.
Creator / Media Tools,Keystroke Overlay,Carnac,carnac,ARCInstallcarnac,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Carnac,Default inferred detection for desktop app,Winget + Chocolatey,code52.Carnac,carnac,https://carnackeys.com/,TRUE,"Displays keystrokes on screen; useful for tutorials, demos, training videos, and creator workflows.","Displays keystrokes on screen; useful for tutorials, demos, training videos, and creator workflows."
Creator / Media Tools,File Conversion,File-Converter,file-converter,ARCInstallfile-converter,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching File-Converter,Default inferred detection for desktop app,Winget + Chocolatey,AdrienAllard.FileConverter,file-converter,https://file-converter.io/,TRUE,Context-menu file conversion utility for media/documents; useful for quick format conversion.,Context-menu file conversion utility for media/documents; useful for quick format conversion.
Creator / Media Tools,Presentation / Screen Annotation,ZoomIt,zoomit,ARCInstallzoomit,No,No,No,No,No,Yes,Optional,Executable,ZoomIt.exe,Inferred from known executable,Winget + Chocolatey,Microsoft.Sysinternals.ZoomIt,zoomit,https://learn.microsoft.com/en-us/sysinternals/downloads/zoomit,FALSE,"Sysinternals screen zoom and annotation tool; useful for demos, training, tutorials, and support walkthroughs.","Sysinternals screen zoom and annotation tool; useful for demos, training, tutorials, and support walkthroughs."
Creator / Media Tools,Image Viewer,JPEG View,jpegview,ARCInstalljpegview,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching JPEG View,Default inferred detection for desktop app,Winget + Chocolatey,sylikc.JPEGView,jpegview,https://github.com/sylikc/jpegview,TRUE,Lightweight image viewer/editor; useful for quick review of photos and screenshots.,Lightweight image viewer/editor; useful for quick review of photos and screenshots.
Creator / Media Tools,Image Viewer / Organizer,XnView classic,xnview-classic,ARCInstallxnview-classic,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching XnView classic,Default inferred detection for desktop app,Winget + Chocolatey,XnSoft.XnView.Classic,xnview,https://www.xnview.com/en/xnview/,FALSE,Image viewer and organizer with broad format support and batch tools.,Image viewer and organizer with broad format support and batch tools.
Creator Tools,Subtitle Editing,Aegisub,aegisub,ARCInstallaegisub,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Aegisub,Default inferred detection for desktop app,Winget + Chocolatey,Aegisub.Aegisub,aegisub,https://github.com/Aegisub/Aegisub,TRUE,"Subtitle editing tool for creating and timing subtitles; useful for video, localization, and creator workflows.","Subtitle editing tool for creating and timing subtitles; useful for video, localization, and creator workflows."
Data / Analytics,Power BI / DAX Tooling,Daxstudio,daxstudio,ARCInstalldaxstudio,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Daxstudio,Default inferred detection for desktop app,Winget + Chocolatey,DaxStudio.DaxStudio,daxstudio,https://daxstudio.org/,TRUE,"Tool for writing, analyzing, and optimizing DAX queries for Power BI and Analysis Services workflows.","Tool for writing, analyzing, and optimizing DAX queries for Power BI and Analysis Services workflows."
Developer Tools,Shell / Terminal,Nushell,nushell,ARCInstallnushell,No,No,No,No,No,Yes,Optional,Command,nu,Inferred from CLI/runtime tooling,Winget + Chocolatey,Nushell.Nushell,nushell,https://www.nushell.sh/,TRUE,Modern structured shell; useful for developers and terminal-heavy users experimenting with data-oriented shell workflows.,Modern structured shell; useful for developers and terminal-heavy users experimenting with data-oriented shell workflows.
Developer Tools,Containers / Virtualization,crc,crc,ARCInstallcrc,No,No,No,No,No,Yes,Optional,Command,crc,Inferred from CLI/runtime tooling,Winget + Chocolatey,RedHat.OpenShiftLocal,crc,https://developers.redhat.com/products/openshift-local,TRUE,Red Hat CodeReady Containers/OpenShift local tooling; useful for developers working with container platforms.,Red Hat CodeReady Containers/OpenShift local tooling; useful for developers working with container platforms.
Developer Tools,Command-Line Search,Fzf,fzf,ARCInstallfzf,No,No,No,No,No,Yes,Optional,Command,fzf,Inferred from CLI/runtime tooling,Winget + Chocolatey,junegunn.fzf,fzf,https://github.com/junegunn/fzf/,TRUE,Fuzzy finder for terminal workflows; useful for developers and shell-heavy users.,Fuzzy finder for terminal workflows; useful for developers and shell-heavy users.
Developer Tools,Privilege Elevation,Gsudo,gsudo,ARCInstallgsudo,No,No,Yes,No,No,Yes,Recommended,Command,gsudo,Inferred from CLI/runtime tooling,Winget + Chocolatey,gerardog.gsudo,gsudo,https://gerardog.github.io/gsudo/,TRUE,Sudo-like privilege elevation tool for Windows; useful for admin and developer terminal workflows.,Sudo-like privilege elevation tool for Windows; useful for admin and developer terminal workflows.
Developer Tools,System Info CLI,Neofetch,neofetch,ARCInstallneofetch,No,No,No,No,No,Yes,Niche,Command,neofetch,Inferred from CLI/runtime tooling,Winget only,nepnep.neofetch-win,N/A,https://github.com/nepnep39/neofetch-win,TRUE,Command-line system information display tool; useful for terminal screenshots and quick environment info.,Command-line system information display tool; useful for terminal screenshots and quick environment info.
Developer Tools,Static Site Generator,Hugo,hugo,ARCInstallhugo,No,No,No,No,No,Yes,Optional,Command,hugo,Inferred from CLI/runtime tooling,Winget + Chocolatey,Hugo.Hugo.Extended,hugo-extended,https://github.com/gohugoio/hugo/,TRUE,"Static website generator; useful for documentation sites, blogs, and project pages.","Static website generator; useful for documentation sites, blogs, and project pages."
Developer Tools,Shell Navigation,Zoxide,zoxide,ARCInstallzoxide,No,No,No,No,No,Yes,Optional,Command,zoxide,Inferred from CLI/runtime tooling,Winget + Chocolatey,ajeetdsouza.zoxide,zoxide,https://github.com/ajeetdsouza/zoxide,TRUE,Smarter cd replacement that learns frequently used directories; useful for terminal-heavy workflows.,Smarter cd replacement that learns frequently used directories; useful for terminal-heavy workflows.
Developer Tools,Terminal Emulator,Alacritty Terminal,alacritty-terminal,ARCInstallalacritty-terminal,No,No,No,No,No,Yes,Optional,Command / Executable,Command or executable for Alacritty Terminal,Inferred from developer/terminal utility,Winget + Chocolatey,Alacritty.Alacritty,alacritty,https://alacritty.org/,TRUE,Fast GPU-accelerated terminal emulator; useful for developer and terminal-focused setups.,Fast GPU-accelerated terminal emulator; useful for developer and terminal-focused setups.
Developer Tools,Developer Utility Suite,DevToys,devtoys,ARCInstalldevtoys,No,No,Yes,No,No,Yes,Recommended,Executable / Registry,Installed Programs registry; executable for DevToys,Inferred from developer GUI utility,Winget + Chocolatey,DevToys-app.DevToys,devtoys,https://devtoys.app/,TRUE,"Offline developer toolbox with converters, formatters, encoders, hash tools, and text utilities.","Offline developer toolbox with converters, formatters, encoders, hash tools, and text utilities."
Developer Tools,Command-Line Search,Ripgrep,ripgrep,ARCInstallripgrep,No,No,Yes,No,No,Yes,Recommended,Command,rg,Inferred from CLI/runtime tooling,Winget + Chocolatey,BurntSushi.ripgrep.MSVC,ripgrep,https://github.com/BurntSushi/ripgrep/,TRUE,"Fast recursive text search tool; useful for codebases, logs, configs, and documentation.","Fast recursive text search tool; useful for codebases, logs, configs, and documentation."
Developer Tools,Command-Line Viewer,Bat (Cat),bat,ARCInstallbat,No,No,No,No,No,Yes,Optional,Command,bat,Inferred from CLI/runtime tooling,Winget + Chocolatey,sharkdp.bat,bat,https://github.com/sharkdp/bat,TRUE,cat alternative with syntax highlighting; useful for developers reviewing files in terminal.,cat alternative with syntax highlighting; useful for developers reviewing files in terminal.
Developer Tools,System Info CLI,Fastfetch,fastfetch,ARCInstallfastfetch,No,No,No,No,No,Yes,Niche,Command,fastfetch,Inferred from CLI/runtime tooling,Winget + Chocolatey,Fastfetch-cli.Fastfetch,fastfetch,https://github.com/fastfetch-cli/fastfetch/,TRUE,Fast system information CLI; useful for terminal screenshots and quick environment summaries.,Fast system information CLI; useful for terminal screenshots and quick environment summaries.
Developer Tools,File / Diff Tool,Meld,meld,ARCInstallmeld,No,No,No,No,No,Yes,Optional,Executable / Registry,Installed Programs registry; executable for Meld,Inferred from developer GUI utility,Winget + Chocolatey,Meld.Meld,meld,https://meldmerge.org/,TRUE,"Visual diff and merge tool for comparing files, folders, and project changes.","Visual diff and merge tool for comparing files, folders, and project changes."
Developer Tools,Terminal Emulator,Tabby.sh,tabby,ARCInstalltabby,No,No,No,No,No,Yes,Optional,Command / Executable,Command or executable for Tabby.sh,Inferred from developer/terminal utility,Winget + Chocolatey,Eugeny.Tabby,tabby,https://tabby.sh/,TRUE,"Modern terminal/SSH client; useful for developers, homelabbers, and remote shell workflows.","Modern terminal/SSH client; useful for developers, homelabbers, and remote shell workflows."
Development,Git Client / Workflow,Git Butler,gitbutler,ARCInstallgitbutler,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Git Butler,Default inferred detection for desktop app,Winget + Chocolatey,GitButler.GitButler,gitbutler,https://gitbutler.com/,FALSE,Git workflow tool focused on branch and change management; useful for developers who want a visual Git workflow.,Git workflow tool focused on branch and change management; useful for developers who want a visual Git workflow.
Development,Git Client / Workflow,GitKraken Client,gitkraken,ARCInstallgitkraken,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching GitKraken Client,Default inferred detection for desktop app,Winget + Chocolatey,Axosoft.GitKraken,gitkraken,https://www.gitkraken.com/git-client,FALSE,"Visual Git client for repository management, branching, commits, and collaboration workflows.","Visual Git client for repository management, branching, commits, and collaboration workflows."
Development,JDK / Runtime,Amazon Corretto 11 (LTS),amazon-corretto-11,ARCInstallamazon-corretto-11,No,No,No,No,No,Yes,Optional,Registry / Command,Installed Programs registry; runtime command when available,Inferred from runtime/SDK package,Winget + Chocolatey,Amazon.Corretto.11.JDK,corretto11jdk,https://aws.amazon.com/corretto,TRUE,Amazon-supported OpenJDK distribution for Java 11; useful for Java development and applications requiring this LTS runtime.,Amazon-supported OpenJDK distribution for Java 11; useful for Java development and applications requiring this LTS runtime.
Development,IDE Manager,Jetbrains Toolbox,jetbrains-toolbox,ARCInstalljetbrains-toolbox,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Jetbrains Toolbox,Default inferred detection for desktop app,Winget + Chocolatey,JetBrains.Toolbox,jetbrainstoolbox,https://www.jetbrains.com/toolbox/,FALSE,"Manager for installing and updating JetBrains IDEs such as IntelliJ IDEA, Rider, PyCharm, and WebStorm.","Manager for installing and updating JetBrains IDEs such as IntelliJ IDEA, Rider, PyCharm, and WebStorm."
Development,Python IDE,Code With Mu (Mu Editor),mu-editor,ARCInstallmu-editor,No,No,No,No,No,Yes,Niche,Registry / Executable,Installed Programs registry; executable matching Code With Mu (Mu Editor),Default inferred detection for desktop app,Winget only,Mu.Mu,N/A,https://codewith.mu/,TRUE,"Beginner-friendly Python editor; useful for education, scripting, and lightweight Python workflows.","Beginner-friendly Python editor; useful for education, scripting, and lightweight Python workflows."
Development,Runtime Manager,Node Version Manager,nvm,ARCInstallnvm,No,No,No,No,No,Yes,Optional,Command,nvm,Inferred from CLI/runtime tooling,Winget + Chocolatey,CoreyButler.NVMforWindows,nvm,https://github.com/coreybutler/nvm-windows,TRUE,Tool for managing multiple Node.js versions; useful for developers working across projects with different Node requirements.,Tool for managing multiple Node.js versions; useful for developers working across projects with different Node requirements.
Development,Runtime Manager,Python Version Manager (pyenv-win),pyenv-win,ARCInstallpyenv-win,No,No,No,No,No,Yes,Optional,Command,pyenv,Inferred from CLI/runtime tooling,Chocolatey only,N/A,pyenv-win,https://pyenv-win.github.io/pyenv-win/,TRUE,Windows version manager for Python; useful for switching between Python versions across projects.,Windows version manager for Python; useful for switching between Python versions across projects.
Development,Git Client / Workflow,Sublime Merge,sublime-merge,ARCInstallsublime-merge,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Sublime Merge,Default inferred detection for desktop app,Winget + Chocolatey,SublimeHQ.SublimeMerge,sublimemerge,https://www.sublimemerge.com/,FALSE,"Git client from Sublime HQ focused on fast repository browsing, commits, diffs, and merge workflows.","Git client from Sublime HQ focused on fast repository browsing, commits, diffs, and merge workflows."
Development,Python IDE,Thonny Python IDE,thonny,ARCInstallthonny,No,No,No,No,No,Yes,Niche,Registry / Executable,Installed Programs registry; executable matching Thonny Python IDE,Default inferred detection for desktop app,Winget + Chocolatey,AivarAnnamaa.Thonny,thonny,https://github.com/thonny/thonny,TRUE,"Beginner-friendly Python IDE with simple debugging tools; useful for learning, scripting, and education-focused setups.","Beginner-friendly Python IDE with simple debugging tools; useful for learning, scripting, and education-focused setups."
Development,IDE,Visual Studio 2026,visual-studio-2026,ARCInstallvisual-studio-2026,No,No,No,No,No,Yes,Niche,Registry / Executable,Installed Programs registry; executable matching Visual Studio 2026,Default inferred detection for desktop app,Winget + Chocolatey,Microsoft.VisualStudio.Community,visualstudio2026community,https://visualstudio.microsoft.com/,FALSE,"Microsoft IDE for Windows development, .NET, C++, game development workloads, and enterprise software projects.","Microsoft IDE for Windows development, .NET, C++, game development workloads, and enterprise software projects."
Development,Code Editor,Zed,zed,ARCInstallzed,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Zed,Default inferred detection for desktop app,Winget + Chocolatey,ZedIndustries.Zed,zed,https://zed.dev/,TRUE,Modern code editor focused on speed and collaboration; useful for developers who want a lightweight editor experience.,Modern code editor focused on speed and collaboration; useful for developers who want a lightweight editor experience.
Development,Python / Data Environment,Anaconda,anaconda,ARCInstallanaconda,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Anaconda,Default inferred detection for desktop app,Winget + Chocolatey,Anaconda.Anaconda3,anaconda3,https://www.anaconda.com/products/distribution,FALSE,"Python distribution and environment manager commonly used for data science, analytics, and scientific computing.","Python distribution and environment manager commonly used for data science, analytics, and scientific computing."
Development,Containers / Virtualization,Docker Desktop,docker-desktop,ARCInstalldocker-desktop,No,No,Yes,Yes,No,Yes,Recommended,Service / Executable,com.docker.service / Docker Desktop.exe,Inferred from known service/desktop app behavior,Winget + Chocolatey,Docker.DockerDesktop,docker-desktop,https://www.docker.com/products/docker-desktop,FALSE,"Container development platform for building, running, and testing containerized applications on Windows.","Container development platform for building, running, and testing containerized applications on Windows."
Development,Git Client / Workflow,Git Extensions,git-extensions,ARCInstallgit-extensions,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Git Extensions,Default inferred detection for desktop app,Winget + Chocolatey,GitExtensionsTeam.GitExtensions,git;gitextensions,https://gitextensions.github.io/,TRUE,"Graphical Git client and shell integration for managing repositories, commits, branches, and history.","Graphical Git client and shell integration for managing repositories, commits, branches, and history."
Development,JDK / Runtime,Amazon Corretto 17 (LTS),amazon-corretto-17,ARCInstallamazon-corretto-17,No,No,No,No,No,Yes,Optional,Registry / Command,Installed Programs registry; runtime command when available,Inferred from runtime/SDK package,Winget + Chocolatey,Amazon.Corretto.17.JDK,corretto17jdk,https://aws.amazon.com/corretto,TRUE,Amazon-supported OpenJDK distribution for Java 17; common LTS runtime for modern Java applications.,Amazon-supported OpenJDK distribution for Java 17; common LTS runtime for modern Java applications.
Development,Terminal Git UI,Lazygit,lazygit,ARCInstalllazygit,No,No,No,No,No,Yes,Optional,Command / Executable,Command or executable for Lazygit,Inferred from developer/terminal utility,Winget + Chocolatey,JesseDuffield.lazygit,lazygit,https://github.com/jesseduffield/lazygit/,TRUE,"Terminal-based Git interface for quickly staging, committing, branching, and reviewing repository changes.","Terminal-based Git interface for quickly staging, committing, branching, and reviewing repository changes."
Development,Compilers / Toolchains,NASM,nasm,ARCInstallnasm,No,No,No,No,No,Yes,Niche,Command,nasm,Inferred from CLI/runtime tooling,Winget + Chocolatey,NASM.NASM,nasm,https://nasm.us,TRUE,Netwide Assembler for x86 assembly development; niche but useful for low-level programming and systems work.,Netwide Assembler for x86 assembly development; niche but useful for low-level programming and systems work.
Development,Package / Environment Manager,Pixi,pixi,ARCInstallpixi,No,No,No,No,No,Yes,Optional,Command,pixi,Inferred from CLI/runtime tooling,Winget + Chocolatey,prefix-dev.pixi,pixi,https://pixi.sh,TRUE,Cross-platform package and environment manager; useful for reproducible development and data/science environments.,Cross-platform package and environment manager; useful for reproducible development and data/science environments.
Development,Programming Language,Python3,python3,ARCInstallpython3,No,No,Yes,Yes,No,Yes,Recommended,Command,python,Inferred from CLI/runtime tooling,Winget + Chocolatey,Python.Python.3.14,python,https://www.python.org/,TRUE,"Python runtime for scripting, automation, development, data analysis, and tooling workflows.","Python runtime for scripting, automation, development, data analysis, and tooling workflows."
Development,Code Editor,Sublime Text,sublime-text,ARCInstallsublime-text,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Sublime Text,Default inferred detection for desktop app,Winget + Chocolatey,SublimeHQ.SublimeText.4,sublimetext4,https://www.sublimetext.com/,FALSE,"Fast, lightweight code editor with plugin support; useful for general coding, scripting, and text editing.","Fast, lightweight code editor with plugin support; useful for general coding, scripting, and text editing."
Development,Code Editor,VS Code,vscode,ARCInstallvscode,No,No,Yes,Yes,No,Yes,Recommended,Registry / Executable,Installed Programs registry; executable matching VS Code,Default inferred detection for desktop app,Winget + Chocolatey,Microsoft.VisualStudioCode,vscode,https://code.visualstudio.com/,TRUE,"Popular extensible code editor used for development, scripting, cloud tooling, DevOps, and game-adjacent workflows","Popular extensible code editor used for development, scripting, cloud tooling, DevOps, and game-adjacent workflows."
Development,Shell Enhancement,Clink,clink,ARCInstallclink,No,No,No,No,No,Yes,Optional,Registry / Shell Extension,Installed Programs registry; shell extension registration,Inferred from shell extension/tooling,Winget + Chocolatey,chrisant996.Clink,clink,https://mridgers.github.io/clink/,TRUE,"Enhances the Windows command prompt with readline-style editing, history, and shell productivity features.","Enhances the Windows command prompt with readline-style editing, history, and shell productivity features."
Development,Runtime Manager,Fast Node Manager,fnm,ARCInstallfnm,No,No,No,No,No,Yes,Optional,Command,fnm,Inferred from CLI/runtime tooling,Winget + Chocolatey,Schniz.fnm,fnm,https://github.com/Schniz/fnm,TRUE,Fast Node.js version manager; useful for switching Node versions across JavaScript and web projects.,Fast Node.js version manager; useful for switching Node versions across JavaScript and web projects.
Development,Version Control,GitHub CLI,github-cli,ARCInstallgithub-cli,No,No,Yes,Yes,No,Yes,Recommended,Command,gh,Inferred from CLI/runtime tooling,Winget + Chocolatey,GitHub.cli,git;gh,https://cli.github.com/,TRUE,"Command-line interface for GitHub repositories, pull requests, issues, releases, and automation workflows.","Command-line interface for GitHub repositories, pull requests, issues, releases, and automation workflows."
Development,Programming Language,Go,go,ARCInstallgo,No,No,No,No,No,Yes,Optional,Command,go,Inferred from CLI/runtime tooling,Winget + Chocolatey,GoLang.Go,golang,https://go.dev/,TRUE,"Go programming language toolchain; useful for backend services, CLI tools, networking tools, and infrastructure software.","Go programming language toolchain; useful for backend services, CLI tools, networking tools, and infrastructure software."
Development,JDK / Runtime,Amazon Corretto 21 (LTS),amazon-corretto-21,ARCInstallamazon-corretto-21,No,No,No,No,No,Yes,Optional,Registry / Command,Installed Programs registry; runtime command when available,Inferred from runtime/SDK package,Winget + Chocolatey,Amazon.Corretto.21.JDK,corretto21jdk,https://aws.amazon.com/corretto,TRUE,Amazon-supported OpenJDK distribution for Java 21; current-generation LTS runtime for modern Java development.,Amazon-supported OpenJDK distribution for Java 21; current-generation LTS runtime for modern Java development.
Development,Compilers / Toolchains,LLVM,llvm,ARCInstallllvm,No,No,Yes,No,No,Yes,Recommended,Command,clang / llvm-*,Inferred from CLI/runtime tooling,Winget + Chocolatey,LLVM.LLVM,llvm,https://llvm.org,TRUE,"Compiler infrastructure and toolchain collection used for C/C++, language development, and low-level tooling.","Compiler infrastructure and toolchain collection used for C/C++, language development, and low-level tooling."
Development,Terminal Editor,Neovim,neovim,ARCInstallneovim,No,No,No,No,No,Yes,Optional,Command / Executable,Command or executable for Neovim,Inferred from developer/terminal utility,Winget + Chocolatey,Neovim.Neovim,neovim,https://neovim.io/,TRUE,Terminal-based extensible editor popular with developers who prefer keyboard-driven workflows.,Terminal-based extensible editor popular with developers who prefer keyboard-driven workflows.
Development,Shell Prompt,Oh My Posh (Prompt),oh-my-posh,ARCInstalloh-my-posh,No,No,No,No,No,Yes,Optional,Registry / Shell Extension,Installed Programs registry; shell extension registration,Inferred from shell extension/tooling,Winget + Chocolatey,JanDeDobbeleer.OhMyPosh,oh-my-posh,https://ohmyposh.dev/,TRUE,Customizable prompt engine for PowerShell and other shells; improves terminal readability and workflow context.,Customizable prompt engine for PowerShell and other shells; improves terminal readability and workflow context.
Development,Programming Language,Ruby,ruby,ARCInstallruby,No,No,No,No,No,Yes,Optional,Command,ruby,Inferred from CLI/runtime tooling,Winget + Chocolatey,RubyInstallerTeam.Ruby.4.0,ruby,https://rubyinstaller.org/,TRUE,"Ruby language runtime; useful for scripting, web development, automation, and legacy/project-specific workflows.","Ruby language runtime; useful for scripting, web development, automation, and legacy/project-specific workflows."
